sigla_uf,area_ha,categoria,ano,Municipio,nome,geocodigo
MT,119.53400368455,não autorizada,2016,Nova Maringá,Nova Maringá,5108907
MT,93.77813928292,não autorizada,2016,Nova Maringá,Nova Maringá,5108907
MT,781.36447279005,não autorizada,2016,Nova Maringá,Nova Maringá,5108907
MT,89.5295765801,não autorizada,2016,Nova Maringá,Nova Maringá,5108907
MT,337.28239166262,não autorizada,2016,Nova Maringá,Nova Maringá,5108907
MT,206.79996123203,não autorizada,2016,Nova Maringá,Nova Maringá,5108907
MT,132.48713597909,não autorizada,2016,Nova Mutum,Nova Mutum,5106224
MT,113.82107196872,não autorizada,2016,Nova Mutum,Nova Mutum,5106224
MT,163.62224887261,não autorizada,2016,Tapurah,Tapurah,5108006
MT,84.05494678029,não autorizada,2016,Tapurah,Tapurah,5108006
MT,201.75235720437,não autorizada,2016,Tapurah,Tapurah,5108006
MT,95.48880280357,não autorizada,2016,São José do Rio Claro,São José do Rio Claro,5107305
MT,71.61017451759,não autorizada,2016,Marcelândia,Marcelândia,5105580
MT,98.72027648637,não autorizada,2016,Marcelândia,Marcelândia,5105580
MT,464.86072963291,não autorizada,2016,Marcelândia,Marcelândia,5105580
MT,93.01364152033,não autorizada,2016,Marcelândia,Marcelândia,5105580
MT,421.09518618092,não autorizada,2016,Marcelândia,Marcelândia,5105580
MT,388.28712868641,não autorizada,2016,Marcelândia,Marcelândia,5105580
MT,53.49894810272,não autorizada,2016,Marcelândia,Marcelândia,5105580
MT,265.30447692625,não autorizada,2016,Marcelândia,Marcelândia,5105580
MT,28.58598346493,não autorizada,2016,Marcelândia,Marcelândia,5105580
MT,492.75802941118,não autorizada,2016,Marcelândia,Marcelândia,5105580
MT,48.33834448117,não autorizada,2016,Marcelândia,Marcelândia,5105580
MT,561.96621669711,não autorizada,2016,Marcelândia,Marcelândia,5105580
MT,324.15051658143,não autorizada,2016,Marcelândia,Marcelândia,5105580
MT,186.0347173969,não autorizada,2016,Cláudia,Cláudia,5103056
MT,375.62545136626,não autorizada,2016,Cláudia,Cláudia,5103056
MT,358.56815009098,não autorizada,2016,Cláudia,Cláudia,5103056
MT,88.01073972295,não autorizada,2016,Cláudia,Cláudia,5103056
MT,134.92147350845,não autorizada,2016,Santa Carmem,Santa Carmem,5107248
